lead_id,fecha_lead,industria,programa_producto_interes,tipo_campana,fuente_meta,dispositivo,hora_generacion,cargo_lead,empresa_lead,ciudad,urgencia_compra,interaccion_previa,horas_hasta_contacto,lead_respondio,intentos_contacto,observacion_asesor,status,compro
L0001,2025-11-04,Educación,IA Generativa para Empresas,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Contador,Empresa 21,Pasto,2,No,29,Sí,5,Precio muy alto,NC,No
L0002,2025-06-22,Ropa Deportiva,Accesorios Ciclismo,Llamada Directa,Instagram,Desktop,Tarde (12pm-6pm),Contador,Empresa 281,Armenia,9,No,135,Sí,5,No contesta,SG,No
L0003,2025-05-31,Educación,Información Exógena,Lead Form,Facebook,Mobile,Tarde (12pm-6pm),Director,Empresa 255,Armenia,7,No,72,Sí,5,No aplica,SG,No
L0004,2025-08-03,Educación,Preparación de Renta Personas Naturales,Lead Form,Facebook,Mobile,Mañana (6am-12pm),Coordinador,Empresa 467,Bogotá,6,No,30,Sí,7,Desea cotización,NI,No
L0005,2025-07-26,Educación,Licitaciones Exitosas,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Especialista,Empresa 107,Villavicencio,9,No,3,Sí,2,seguimiento,AP,Sí
L0006,2025-07-21,Ropa Deportiva,Ropa Ciclismo - Jersey,WhatsApp,Facebook,Desktop,Tarde (12pm-6pm),Director,Empresa 353,Cúcuta,7,No,74,No contactado,7,Ya contrató con otro,NC,No
L0007,2025-06-29,Educación,Contratación Estatal,WhatsApp,Instagram,Desktop,Noche (6pm-12am),Supervisor,Empresa 478,Pasto,5,No,8,No,6,Se encontraba en reunión,SG,No
L0008,2025-06-20,Educación,Excel Intermedio y Avanzado,Messenger,Instagram,Mobile,Mañana (6am-12pm),Profesional Independiente,Empresa 247,Neiva,9,No,6,No,7,No tiene recurso,NI,No
L0009,2025-11-14,Seguros,Seguro de Auto,Lead Form,Instagram,Mobile,Tarde (12pm-6pm),Profesional Independiente,Empresa 170,Ibagué,6,No,11,Sí,6,Se programa llamada,NC,No
L0010,2025-10-11,Ropa Deportiva,Ropa Ciclismo - Pantalón,Lead Form,Instagram,Mobile,Noche (6pm-12am),Director,Empresa 121,Medellín,6,No,2,No,7,MSJW,SG,No
L0011,2025-06-16,Educación,Licitaciones Exitosas,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Director,Empresa 2,Villavicencio,4,No,45,Sí,7,No contesta,NI,No
L0012,2025-10-23,Educación,Actualización Tributaria,Llamada Directa,Instagram,Mobile,Tarde (12pm-6pm),Supervisor,Empresa 7,Pasto,1,Sí,24,No,2,Se programa llamada,SG,No
L0013,2025-09-10,Educación,Bootcamp Liderazgo,Messenger,Ambas Plataformas,Mobile,Mañana (6am-12pm),Consultor,Empresa 344,Valledupar,5,No,117,Sí,6,Desea cotización,NI,No
L0014,2025-06-02,Ropa Deportiva,Ropa Ciclismo - Jersey,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Coordinador,Empresa 46,Armenia,9,No,156,Sí,2,seguimiento,AP,Sí
L0015,2025-06-01,Educación,IA Generativa para Empresas,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Gerente,Empresa 465,Valledupar,8,No,43,Sí,6,Pendiente decisión gerencia,NC,No
L0016,2025-06-17,Seguros,Todo Riesgo Empresarial,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Analista,Empresa 57,Manizales,8,Sí,16,No contactado,2,Se envía información vía WhatsApp,NI,No
L0017,2025-07-19,Educación,Bootcamp Liderazgo,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Auxiliar,Empresa 428,Ibagué,5,No,48,Sí,2,seguimiento,AP,Sí
L0018,2025-07-23,Educación,Contratación Estatal,Lead Form,Ambas Plataformas,Mobile,Noche (6pm-12am),Especialista,Empresa 294,Pereira,9,No,83,No,6,Ya contrató con otro,NC,No
L0019,2025-10-01,Educación,Licitaciones Exitosas,Lead Form,Facebook,Mobile,Mañana (6am-12pm),Profesional Independiente,Empresa 343,Barranquilla,3,No,12,Sí,2,seguimiento,AP,Sí
